Command	Type
Catalan	constant.language	Catalan=Catalan(): Catalan's number with current precision.
Col	entity.name.function	Col(x, {n}): transforms the object x into a column vector of dimension n.
Colrev	entity.name.function	Colrev(x, {n}): transforms the object x into a column vector of dimension n in reverse order with respect to Col(x, {n}). Empty vector if x is omitted.
Euler	constant.language	Euler=Euler(): Euler's constant with current precision.
I	constant.language	I=I(): square root of -1.
List	entity.name.function	List({x=[]}): transforms the vector or list x into a list. Empty list if x is omitted.
Map	entity.name.function	Map({x}): converts the matrix [a_1,b_1;a_2,b_2;...;a_n,b_n] to the map a_i->b_i.
Mat	entity.name.function	Mat({x=[]}): transforms any GEN x into a matrix. Empty matrix if x is omitted.
Mod	entity.name.function	Mod(a,b): create 'a modulo b'.
O	entity.name.function	O(p^e): p-adic or power series zero with precision given by e.
Pi	constant.language	Pi=Pi(): the constant pi, with current precision.
Pol	entity.name.function	Pol(t,{v='x}): convert t (usually a vector or a power series) into a polynomial with variable v, starting with the leading coefficient.
Polrev	entity.name.function	Polrev(t,{v='x}): convert t (usually a vector or a power series) into a polynomial with variable v, starting with the constant term.
Qfb	entity.name.function	Qfb(a,{b},{c}): binary quadratic form a*x^2+b*x*y+c*y^2.
Ser	entity.name.function	Ser(s,{v='x},{d=seriesprecision}): convert s into a power series with variable v and precision d, starting with the constant coefficient.
Set	entity.name.function	Set({x=[]}): convert x into a set, i.e. a row vector with strictly increasing coefficients. Empty set if x is omitted.
Str	entity.name.function	Str({x}*): concatenates its (string) argument into a single string.
Strchr	entity.name.function	Strchr(x): deprecated alias for strchr.
Strexpand	entity.name.function	Strexpand({x}*): deprecated alias for strexpand
Strprintf	entity.name.function	Strprintf(fmt,{x}*): deprecated alias for strprintf.
Strtex	entity.name.function	Strtex({x}*): deprecated alias for strtex.
Vec	entity.name.function	Vec(x, {n}): transforms the object x into a vector of dimension n.
Vecrev	entity.name.function	Vecrev(x, {n}): transforms the object x into a vector of dimension n in reverse order with respect to Vec(x, {n}).
Vecsmall	entity.name.function	Vecsmall(x, {n}): transforms the object x into a VECSMALL of dimension n.
abs	entity.name.function	abs(x): absolute value (or modulus) of x.
acos	entity.name.function	acos(x): arc cosine of x.
acosh	entity.name.function	acosh(x): inverse hyperbolic cosine of x.
addhelp	entity.name.function	addhelp(sym,str): add/change help message for the symbol sym.
addprimes	entity.name.function	addprimes({x=[]}): add primes in the vector x to the prime table to be used in trial division. x may also be a single integer. Composite "primes" are NOT allowed.
agm	entity.name.function	agm(x,y): arithmetic-geometric mean of x and y.
airy	entity.name.function	airy(z): Airy [Ai,Bi] function of argument z.
alarm	entity.name.function	alarm({s = 0},{code}): if code is omitted, trigger an "e_ALARM" exception after s seconds (wall-clock time), cancelling any previously set alarm; stop a pending alarm if s = 0 or is omitted. Otherwise, evaluate code, aborting after s seconds.
algadd	entity.name.function	algadd(al,x,y): element x+y in al.
algalgtobasis	entity.name.function	algalgtobasis(al,x): transforms the element x of the algebra al into a column vector on the integral basis of al.
algaut	entity.name.function	algaut(al): the stored automorphism of the splitting field of the cyclic algebra al.
algb	entity.name.function	algb(al): the element b of the center of the cyclic algebra al used to define it.
algbasis	entity.name.function	algbasis(al): basis of the stored order of the central simple algebra al.
algbasistoalg	entity.name.function	algbasistoalg(al,x): transforms the column vector x on the integral basis of al into an element of al in algebraic form.
algcenter	entity.name.function	algcenter(al): center of the algebra al.
algcentralproj	entity.name.function	algcentralproj(al,z,{maps=0}): projections of the algebra al on the orthogonal central idempotents z[i].
algchar	entity.name.function	algchar(al): characteristic of the algebra al.
algcharpoly	entity.name.function	algcharpoly(al,b,{v='x},{abs=0}): (reduced) characteristic polynomial of b in al, with respect to the variable v.
algdegree	entity.name.function	algdegree(al): degree of the central simple algebra al.
algdep	entity.name.function	algdep(z,k,{flag=0}): algebraic relations up to degree k of z, using lindep([1,z,...,z^(k-1)], flag).
algdim	entity.name.function	algdim(al,{abs=0}): dimension of the algebra al.
algdisc	entity.name.function	algdisc(al): discriminant of the stored order of the algebra al.
algdivl	entity.name.function	algdivl(al,x,y): element x\y in al.
algdivr	entity.name.function	algdivr(al,x,y): element x/y in al.
alggroup	entity.name.function	alggroup(gal, {p=0}): constructs the group algebra of gal over Q (resp. Fp).
alggroupcenter	entity.name.function	alggroupcenter(gal,{p=0},{&cc}): constructs the center of the group algebra of gal over Q (resp. Fp), and sets cc to the conjugacy classes of gal.
alghasse	entity.name.function	alghasse(al,pl): the hasse invariant of the central simple algebra al at the place pl.
alghassef	entity.name.function	alghassef(al): the hasse invariant of the central simple algebra al at finite places.
alghassei	entity.name.function	alghassei(al): the hasse invariant of the central simple algebra al at infinite places.
algindex	entity.name.function	algindex(al,{pl}): the index of the central simple algebra al. If pl is set, it should be a prime ideal of the center or an integer between 1 and r1+r2, and in that case return the local index at the place pl instead.
alginit	entity.name.function	alginit(B, C, {v}, {maxord = 1}): initializes the central simple algebra defined by data B, C. If maxord = 1, compute a maximal order.
alginv	entity.name.function	alginv(al,x): element 1/x in al.
alginvbasis	entity.name.function	alginvbasis(al): basis of the natural order of the central simple algebra al in terms of the stored order.
